epoch,train_loss,train_acc,val_loss,val_acc
0,1.3578,0.5208,15.1849,0.7791
1,0.7158,0.5167,1.0651,0.6810
2,0.6987,0.5667,1.4332,0.5982
3,0.6876,0.5750,1.5486,0.3221
4,0.6364,0.6208,1.5150,0.3620
5,0.6584,0.6167,1.3309,0.5061
6,0.6442,0.6083,1.3286,0.4080
7,0.6521,0.6125,1.6527,0.2945
8,0.6519,0.6167,1.7692,0.2945
9,0.6667,0.6167,1.6623,0.3067
10,0.6556,0.5792,1.2475,0.3374
11,0.6620,0.5917,1.3595,0.3160
12,0.6343,0.6208,1.6874,0.3129
13,0.6394,0.6333,1.8441,0.3098
14,0.6380,0.6375,1.8525,0.3067
15,0.6484,0.6125,1.8660,0.3006
16,0.6260,0.6583,1.7416,0.3037
17,0.6409,0.6292,1.7282,0.3037
18,0.6284,0.6375,1.5722,0.3098
19,0.6259,0.6375,1.5338,0.3098
20,0.5980,0.6542,1.5190,0.3160
21,0.6167,0.6292,1.4806,0.3282
22,0.6140,0.6417,1.5435,0.3190
23,0.6491,0.6167,1.6173,0.3160
24,0.6356,0.6292,1.5957,0.3160
25,0.6157,0.6708,1.4566,0.3190
26,0.6301,0.6167,1.5706,0.3160
27,0.6133,0.6417,1.5383,0.3160
28,0.6162,0.6375,1.4701,0.3190
29,0.6236,0.6375,1.5262,0.3190
30,0.6412,0.6292,1.6009,0.3129
31,0.6402,0.6167,1.7375,0.3037
32,0.6200,0.6417,1.5781,0.3160
33,0.6387,0.5958,1.5618,0.3129
34,0.6069,0.6792,1.5726,0.3160
35,0.6082,0.6583,1.5443,0.3160
36,0.5986,0.6958,1.5823,0.3129
37,0.6092,0.6250,1.5452,0.3160
38,0.6222,0.6500,1.6327,0.3037
39,0.6273,0.6500,1.6479,0.3098
40,0.6588,0.5833,1.5599,0.3129
41,0.6054,0.6750,1.5797,0.3037
42,0.6220,0.6500,1.6295,0.3098
43,0.6152,0.6292,1.6502,0.3098
44,0.6339,0.6333,1.5921,0.3129
45,0.6249,0.6375,1.5806,0.3129
46,0.6271,0.6458,1.5397,0.3160
47,0.6101,0.6583,1.6027,0.3129
48,0.6126,0.6500,1.5086,0.3160
49,0.6201,0.6500,1.5353,0.3129
50,0.6239,0.6250,1.5244,0.3129
51,0.6234,0.6333,1.5611,0.3129
52,0.6193,0.6417,1.5389,0.3067
53,0.6434,0.6375,1.5125,0.3129
54,0.6452,0.6083,1.5076,0.3160
55,0.6370,0.6167,1.5480,0.3129
56,0.6439,0.6292,1.5379,0.3129
57,0.6116,0.6542,1.5625,0.3160
58,0.6231,0.6375,1.6518,0.3129
59,0.5904,0.7000,1.5731,0.3129
60,0.6328,0.6542,1.5899,0.3129
61,0.6039,0.6750,1.5772,0.3098
62,0.6119,0.6583,1.5274,0.3129
63,0.5945,0.6708,1.4807,0.3190
64,0.6243,0.6083,1.5268,0.3160
65,0.6077,0.6875,1.5565,0.3160
66,0.5939,0.6958,1.5181,0.3129
67,0.5913,0.6792,1.5968,0.3129
68,0.6467,0.6208,1.5699,0.3129
69,0.6215,0.6250,1.6099,0.3129
70,0.6296,0.6583,1.5144,0.3160
71,0.6331,0.6292,1.6220,0.3129
72,0.6213,0.6333,1.6096,0.3129
73,0.5812,0.6875,1.6038,0.3129
74,0.6099,0.6500,1.6016,0.3129
75,0.6285,0.6458,1.6341,0.3037
76,0.6430,0.6500,1.5482,0.3129
77,0.6121,0.6708,1.5805,0.3129
78,0.6431,0.6500,1.5438,0.3129
79,0.6136,0.6458,1.5001,0.3190
80,0.6192,0.6250,1.5269,0.3160
81,0.6209,0.6417,1.5537,0.3129
82,0.5975,0.6500,1.6130,0.3037
83,0.6000,0.6917,1.6288,0.3098
84,0.5888,0.6750,1.5499,0.3129
85,0.6326,0.6167,1.5698,0.3129
86,0.6149,0.6583,1.5349,0.3129
87,0.6227,0.6083,1.5692,0.3129
88,0.6116,0.6583,1.5938,0.3098
89,0.6181,0.6792,1.5711,0.3098
90,0.6242,0.6375,1.5417,0.3129
91,0.6111,0.6292,1.4327,0.3190
92,0.6075,0.6792,1.5435,0.3129
